Property~Id элемента~Id;Property~Имя~DisplayName;Property~Полное имя~FullName;Property~Классификация~ItemTypeDisplayName;Link~Прием значения из~MasterSCADA.ReadValue;Link~Передача значения в~MasterSCADA.ReadValue
2227136;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227137;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_4.Ключ управления;MasterSCADA.Attribute;;
2227150;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Название механизма;MasterSCADA.Attribute;;
2227151;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Текущий режим;MasterSCADA.Attribute;;
2227152;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Текущее положение;MasterSCADA.Attribute;;
2227153;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Уставка;MasterSCADA.Attribute;;
2227154;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Подпись при наведении;MasterSCADA.Attribute;;
2227155;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Слово состояния;MasterSCADA.Attribute;;
2227156;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Слово положения;MasterSCADA.Attribute;;
2227157;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Блокировка управления;MasterSCADA.Attribute;;
2227158;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.В процессе открывания;MasterSCADA.Attribute;;
2227159;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.В процессе закрывания;MasterSCADA.Attribute;;
2227160;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Автоматический режим;MasterSCADA.Attribute;;
2227161;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Ручной режим;MasterSCADA.Attribute;;
2227162;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Статус режим;MasterSCADA.Attribute;;
2227163;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Сброс;MasterSCADA.Attribute;;
2227164;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Открыть;MasterSCADA.Attribute;;
2227165;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Закрыть;MasterSCADA.Attribute;;
2227166;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Подтверждение уставки;MasterSCADA.Attribute;;
